Código ;Ação;Tipo;Qtde. Teórica;Part. (%)
ABEV3;AMBEV S/A;ON;4.414.004.336;6,648
ALLL3;ALL AMER LAT;ON NM;435.082.583;0,338
BBAS3;BRASIL;ON NM;828.582.888;2,573
BBDC3;BRADESCO;ON EJ N1;463.554.127;1,708
BBDC4;BRADESCO;PN EJ N1;2.027.016.998;7,7
BBSE3;BBSEGURIDADE;ON NM;675.000.000;2,218
BRAP4;BRADESPAR;PN N1;222.486.102;0,405
BRFS3;BRF SA;ON NM;634.790.358;3,533
BRKM5;BRASKEM;PNA N1;265.820.380;0,389
BRML3;BR MALLS PAR;ON NM;459.540.434;0,95
BRPR3;BR PROPERT;ON NM;298.228.434;0,414
BVMF3;BMFBOVESPA;ON NM;1.836.666.702;2,42
CCRO3;CCR SA;ON NM;861.282.756;1,574
CESP6;CESP;PNB N1;181.791.331;0,486
CIEL3;CIELO;ON NM;665.068.406;2,638
CMIG4;CEMIG;PN N1;758.933.452;1,318
CPFE3;CPFL ENERGIA;ON ED NM;293.274.238;0,58
CPLE6;COPEL;PNB N1;100.947.141;0,378
CRUZ3;SOUZA CRUZ;ON;378.068.610;0,71
CSAN3;COSAN;ON NM;109.265.505;0,45
CSNA3;SID NACIONAL;ON;702.056.615;0,636
CTIP3;CETIP;ON NM;254.215.768;0,776
CYRE3;CYRELA REALT;ON NM;255.451.127;0,335
DTEX3;DURATEX;ON NM;260.817.159;0,246
ECOR3;ECORODOVIAS;ON NM;199.611.859;0,257
ELET3;ELETROBRAS;ON N1;223.455.547;0,16
ELET6;ELETROBRAS;PNB N1;219.731.566;0,234
ELPL4;ELETROPAULO;PN N2;92.735.426;0,088
EMBR3;EMBRAER;ON NM;732.914.825;1,543
ENBR3;ENERGIAS BR;ON NM;232.602.924;0,238
ESTC3;ESTACIO PART;ON NM;310.198.752;0,822
EVEN3;EVEN;ON NM;210.307.738;0,133
FIBR3;FIBRIA;ON NM;222.308.001;0,522
GFSA3;GAFISA;ON NM;397.929.711;0,12
GGBR4;GERDAU;PN N1;876.090.759;1,092
GOAU4;GERDAU MET;PN N1;268.577.413;0,406
GOLL4;GOL;PN N2;105.656.378;0,149
HGTX3;CIA HERING;ON NM;127.537.447;0,324
HYPE3;HYPERMARCAS;ON NM;372.121.056;0,663
ITSA4;ITAUSA;PN ED N1;3.115.466.017;3,168
ITUB4;ITAUUNIBANCO;PN ED N1;2.680.430.933;10,121
JBSS3;JBS;ON NM;1.653.729.368;1,46
KLBN11;KLABIN S/A;UNT N2;382.961.180;0,445
KROT3;KROTON;ON NM;403.887.818;2,445
LAME4;LOJAS AMERIC;PN EJ;428.103.759;0,62
LIGT3;LIGHT S/A;ON NM;97.629.475;0,218
LREN3;LOJAS RENNER;ON NM;125.475.797;0,888
MRFG3;MARFRIG;ON NM;346.968.736;0,228
MRVE3;MRV;ON NM;280.063.889;0,235
NATU3;NATURA;ON NM;168.827.352;0,632
OIBR4;OI;PN N1;3.222.096.319;0,49
PCAR4;P.ACUCAR-CBD;PN N1;155.024.524;1,68
PDGR3;PDG REALT;ON NM;1.300.363.699;0,179
PETR3;PETROBRAS;ON;2.708.485.740;5,355
PETR4;PETROBRAS;PN;4.037.414.651;8,373
POMO4;MARCOPOLO;PN N2;538.471.178;0,222
QUAL3;QUALICORP;ON NM;215.986.795;0,539
RENT3;LOCALIZA;ON NM;149.142.340;0,542
RSID3;ROSSI RESID;ON NM;361.140.000;0,048
SANB11;SANTANDER BR;UNT N2;923.628.249;1,385
SBSP3;SABESP;ON NM;339.985.611;0,669
SUZB5;SUZANO PAPEL;PNA N1;459.260.952;0,409
TBLE3;TRACTEBEL;ON NM;203.919.927;0,699
TIMP3;TIM PART S/A;ON NM;804.866.739;1,021
UGPA3;ULTRAPAR;ON NM;425.255.226;2,276
USIM5;USIMINAS;PNA N1;481.427.177;0,375
VALE3;VALE;ON N1;1.262.807.257;3,391
VALE5;VALE;PNA N1;1.878.758.554;4,453
VIVT4;TELEF BRASIL;PN EJ;261.308.985;1,26
Quantidade Teórica Total;;;51.386.613.099;100
Redutor;;;17.677.602,46;
