Setor,Código,Ação,Tipo,Qtde. Teórica,%Setor,
,,,,,Part. (%),Part. (%)Acum.
Bens Indls / Mat Transporte,EMBR3,EMBRAER,ON NM,732.914.825,"1,682","1,906"
,POMO4,MARCOPOLO,PN N2,538.471.178,"0,224",
Cons N Básico / Alimentos Processados,BRFS3,BRF SA,ON NM,634.790.358,"3,557","5,776"
,CSAN3,COSAN,ON NM,109.265.505,"0,439",
,JBSS3,JBS,ON NM,1.653.729.368,"1,540",
,MRFG3,MARFRIG,ON NM,346.968.736,"0,240",
Cons N Cíclico / Bebidas,ABEV3,AMBEV S/A,ON,4.414.004.336,"6,921","6,921"
Cons N Cíclico / Comércio Distr.,PCAR4,P.ACUCAR-CBD,PN N1,155.024.524,"1,672","1,672"
Cons N Cíclico / Fumo,CRUZ3,SOUZA CRUZ,ON,378.068.610,"0,713","0,713"
Cons N Cíclico / Pr Pessoal Limp,NATU3,NATURA,ON NM,168.827.352,"0,635","0,635"
Cons N Cíclico/Diversos,HYPE3,HYPERMARCAS,ON NM,372.121.056,"0,658","0,658"
Const e Transp / Constr e Engenh,CYRE3,CYRELA REALT,ON NM,255.451.127,"0,331","1,036"
,EVEN3,EVEN,ON NM,210.307.738,"0,127",
,GFSA3,GAFISA,ON NM,397.929.711,"0,126",
,MRVE3,MRV,ON NM,280.063.889,"0,240",
,PDGR3,PDG REALT,ON NM,1.300.363.699,"0,166",
,RSID3,ROSSI RESID,ON NM,361.140.000,"0,046",
Const e Transp / Transporte,ALLL3,ALL AMER LAT,ON NM,435.082.583,"0,319","2,274"
,CCRO3,CCR SA,ON NM,861.282.756,"1,572",
,ECOR3,ECORODOVIAS,ON NM,199.611.859,"0,242",
,GOLL4,GOL,PN N2,105.656.378,"0,141",
Consumo Cíclico / Comércio,LAME4,LOJAS AMERIC,PN EJ,428.103.759,"0,605","1,460"
,LREN3,LOJAS RENNER,ON NM,125.475.797,"0,855",
Consumo Cíclico / Tecid Vest Calç,HGTX3,CIA HERING,ON NM,127.537.447,"0,323","0,323"
Consumo não Cíclico/Saúde,QUAL3,QUALICORP,ON NM,215.986.795,"0,534","0,534"
Diversos,ESTC3,ESTACIO PART,ON NM,310.198.752,"0,806","3,741"
,KROT3,KROTON,ON EB NM,1.615.551.272,"2,405",
,RENT3,LOCALIZA,ON NM,149.142.340,"0,530",
Financ e Outros / Explor Imóveis,BRML3,BR MALLS PAR,ON NM,459.540.434,"0,932","1,338"
,BRPR3,BR PROPERT,ON NM,298.228.434,"0,406",
Financ e Outros / Holdings Divers,BRAP4,BRADESPAR,PN N1,222.486.102,"0,418","2,684"
,UGPA3,ULTRAPAR,ON NM,425.255.226,"2,266",
Financ e Outros / Interms Financs,BBDC3,BRADESCO,ON N1,463.554.127,"1,730","26,376"
,BBDC4,BRADESCO,PN N1,2.027.016.998,"7,561",
,BBAS3,BRASIL,ON EJ NM,828.582.888,"2,574",
,ITSA4,ITAUSA,PN N1,3.115.466.017,"3,117",
,ITUB4,ITAUUNIBANCO,PN N1,2.680.430.933,"9,946",
,SANB11,SANTANDER BR,UNT N2,923.628.249,"1,448",
Financ e Outros / Previd Seguros,BBSE3,BBSEGURIDADE,ON NM,675.000.000,"2,163","2,163"
Financeiro e Outros/Serviços Financeiros Diversos,BVMF3,BMFBOVESPA,ON NM,1.836.666.702,"2,349","5,784"
,CTIP3,CETIP,ON NM,254.215.768,"0,793",
,CIEL3,CIELO,ON EDJ NM,665.068.406,"2,642",
Mats Básicos / Madeira e Papel,DTEX3,DURATEX,ON NM,260.817.159,"0,243","1,705"
,FIBR3,FIBRIA,ON NM,222.308.001,"0,566",
,KLBN11,KLABIN S/A,UNT N2,382.961.180,"0,456",
,SUZB5,SUZANO PAPEL,PNA N1,459.260.952,"0,440",
Mats Básicos / Mineração,VALE3,VALE,ON N1,1.262.807.257,"3,591","8,304"
,VALE5,VALE,PNA N1,1.878.758.554,"4,713",
Mats Básicos / Químicos,BRKM5,BRASKEM,PNA N1,265.820.380,"0,403","0,403"
Mats Básicos / Sid Metalurgia,GGBR4,GERDAU,PN N1,876.090.759,"1,061","2,500"
,GOAU4,GERDAU MET,PN N1,268.577.413,"0,395",
,CSNA3,SID NACIONAL,ON,702.056.615,"0,662",
,USIM5,USIMINAS,PNA N1,481.427.177,"0,382",
"Petróleo, Gás e Biocombustíveis",PETR3,PETROBRAS,ON,2.708.485.740,"5,150","13,256"
,PETR4,PETROBRAS,PN,4.037.414.651,"8,106",
Telecomunicação / Telefonia Fixa,OIBR4,OI,PN N1,3.222.096.319,"0,475","1,762"
,VIVT4,TELEF BRASIL,PN,261.308.985,"1,287",
Telecomunicação / Telefonia Móvel,TIMP3,TIM PART S/A,ON NM,804.866.739,"1,083","1,083"
Utilidade Públ / Água Saneamento,SBSP3,SABESP,ON NM,339.985.611,"0,693","0,693"
Utilidade Públ / Energ Elétrica,CMIG4,CEMIG,PN N1,758.933.452,"1,266","4,300"
,CESP6,CESP,PNB N1,181.791.331,"0,489",
,CPLE6,COPEL,PNB N1,100.947.141,"0,351",
,CPFE3,CPFL ENERGIA,ON ED NM,293.274.238,"0,564",
,ELET3,ELETROBRAS,ON N1,223.455.547,"0,159",
,ELET6,ELETROBRAS,PNB N1,219.731.566,"0,231",
,ELPL4,ELETROPAULO,PN N2,92.735.426,"0,086",
,ENBR3,ENERGIAS BR,ON NM,232.602.924,"0,237",
,LIGT3,LIGHT S/A,ON NM,97.629.475,"0,214",
,TBLE3,TRACTEBEL,ON ED NM,203.919.927,"0,703",
