"combinacao","learnParams","porc_teste","iteracao","neuronio","minimo","media","maximo"
1,0.3,0.25,300,9,0.03687878,0.07190945,0.10694012
2,0.3,0.3,300,9,0.05863215,0.09203581,0.12543947
3,0.2,0.25,300,9,0.05807867,0.11126515,0.16445163
4,0.2,0.3,300,9,0.07931609,0.11571644,0.1521168
5,0.1,0.25,300,9,0.05991647,0.10601262,0.15210877
6,0.1,0.3,300,9,0.12787427,0.21451359,0.30115292
7,0.3,0.25,300,13,0.02331922,0.04160381,0.0598884
8,0.3,0.3,300,13,0.03079119,0.05449376,0.07819634
9,0.2,0.25,300,13,0.04538408,0.12158811,0.19779215
10,0.2,0.3,300,13,0.05458392,0.09195394,0.12932395
11,0.1,0.25,300,13,0.05064686,0.12265795,0.19466905
12,0.1,0.3,300,13,0.12454998,0.19543267,0.26631535
13,0.3,0.25,300,15,0.03238351,0.0479128,0.0634421
14,0.3,0.3,300,15,0.05346066,0.0823951,0.11132955
15,0.2,0.25,300,15,0.04392203,0.08001259,0.11610315
16,0.2,0.3,300,15,0.06530428,0.10238378,0.13946328
17,0.1,0.25,300,15,0.0877834,0.18471961,0.28165582
18,0.1,0.3,300,15,0.11659067,0.17064611,0.22470156
19,0.3,0.25,500,9,0.01997085,0.02887251,0.03777418
20,0.3,0.3,500,9,0.03915532,0.05411445,0.06907358
21,0.2,0.25,500,9,0.02617923,0.04039783,0.05461642
22,0.2,0.3,500,9,0.04465122,0.07045321,0.0962552
23,0.1,0.25,500,9,0.04317023,0.06630391,0.0894376
24,0.1,0.3,500,9,0.07955911,0.12941159,0.17926406
25,0.3,0.25,500,13,0.0303932,0.04956591,0.06873862
26,0.3,0.3,500,13,0.04568626,0.06506167,0.08443707
27,0.2,0.25,500,13,0.02405833,0.03677556,0.0494928
28,0.2,0.3,500,13,0.0460007,0.06422825,0.0824558
29,0.1,0.25,500,13,0.0464535,0.08463194,0.12281037
30,0.1,0.3,500,13,0.07283701,0.12319145,0.17354589
31,0.3,0.25,500,15,0.01556591,0.02275784,0.02994977
32,0.3,0.3,500,15,0.03419272,0.05023736,0.066282
33,0.2,0.25,500,15,0.02057884,0.03668419,0.05278954
34,0.2,0.3,500,15,0.0424076,0.07026665,0.09812571
35,0.1,0.25,500,15,0.04990432,0.07740975,0.10491518
36,0.1,0.3,500,15,0.08897956,0.19665393,0.30432831
37,0.3,0.25,1000,9,0.01456347,0.02364691,0.03273035
38,0.3,0.3,1000,9,0.02359661,0.03331676,0.0430369
39,0.2,0.25,1000,9,0.01691221,0.02580789,0.03470358
40,0.2,0.3,1000,9,0.02482068,0.04239248,0.05996428
41,0.1,0.25,1000,9,0.03167137,0.05583056,0.07998975
42,0.1,0.3,1000,9,0.04388352,0.06654118,0.08919884
43,0.3,0.25,1000,13,0.0194565,0.02788882,0.03632114
44,0.3,0.3,1000,13,0.02675245,0.03866786,0.05058326
45,0.2,0.25,1000,13,0.01640135,0.02586971,0.03533807
46,0.2,0.3,1000,13,0.02501109,0.03309823,0.04118537
47,0.1,0.25,1000,13,0.02483664,0.04059299,0.05634935
48,0.1,0.3,1000,13,0.03924514,0.06032218,0.08139921
49,0.3,0.25,1000,15,0.01278897,0.02167791,0.03056685
50,0.3,0.3,1000,15,0.02464188,0.03400625,0.04337062
51,0.2,0.25,1000,15,0.01921868,0.03152812,0.04383757
52,0.2,0.3,1000,15,0.03109896,0.04292027,0.05474157
53,0.1,0.25,1000,15,0.03755789,0.06191174,0.0862656
54,0.1,0.3,1000,15,0.04750369,0.07611428,0.10472487
55,0.3,0.25,1500,9,0.01456146,0.02367298,0.0327845
56,0.3,0.3,1500,9,0.01650669,0.02444083,0.03237497
57,0.2,0.25,1500,9,0.01236571,0.02415785,0.03595
58,0.2,0.3,1500,9,0.0237272,0.03449321,0.04525923
59,0.1,0.25,1500,9,0.02156042,0.03571211,0.04986379
60,0.1,0.3,1500,9,0.02309539,0.03394003,0.04478466
61,0.3,0.25,1500,13,0.01336376,0.02325917,0.03315457
62,0.3,0.3,1500,13,0.01446058,0.02064982,0.02683906
63,0.2,0.25,1500,13,0.0156815,0.02377329,0.03186509
64,0.2,0.3,1500,13,0.01850358,0.02676823,0.03503289
65,0.1,0.25,1500,13,0.02232415,0.03366922,0.04501429
66,0.1,0.3,1500,13,0.04017649,0.05407956,0.06798262
67,0.3,0.25,1500,15,0.01170624,0.01836296,0.02501969
68,0.3,0.3,1500,15,0.02278403,0.03324936,0.04371469
69,0.2,0.25,1500,15,0.0145429,0.02270265,0.03086241
70,0.2,0.3,1500,15,0.02232786,0.03302542,0.04372298
71,0.1,0.25,1500,15,0.02563408,0.03877373,0.05191338
72,0.1,0.3,1500,15,0.03165055,0.04624303,0.06083551
